id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24611680,Luxury Spacious Family 2bed in Gardens - Serviced,40343152,Willem,,Ward 77,-33.93429,18.41026,Entire home/apt,3150,1,5,2022-05-15,0.11,4,259,2,
24611688,Luxury Spacious Family 3-bed in Gardens - serviced,40343152,Willem,,Ward 77,-33.93429,18.41026,Entire home/apt,3900,1,28,2022-12-12,0.50,4,253,13,
24614770,Luxury 1 Bedroom Serviced Apartment in Gardens,40343152,Willem,,Ward 77,-33.93429,18.41026,Entire home/apt,1400,1,8,2022-03-04,0.56,4,189,3,
23933855,Modern house nestled in Tamboerskloof hills,10100245,Robyn,,Ward 77,-33.92652,18.40574,Entire home/apt,9000,2,2,2022-12-28,2,1,212,2,
24623056,Shanti Cottage,81847644,Dori,,Ward 64,-34.1012,18.47508,Entire home/apt,900,2,5,2022-11-01,0.10,1,138,2,
24278080,Traumvilla Kapstadt,183111721,Christiane,,Ward 15,-34.05713,18.85007,Entire home/apt,5480,7,1,2022-09-04,0.26,1,284,1,
24281834,Garden Room in neat Victorian Gem - Observatory,110133853,Ismail,,Ward 57,-33.93998,18.46822,Private room,450,2,17,2022-01-05,0.30,2,0,1,
23937457,Modern 2 bed 2 bath in Cape Town!,34493299,Pratiksha,,Ward 55,-33.88725,18.51463,Entire home/apt,1400,1,9,2022-12-12,0.19,1,29,2,
24283185,HydePark Apartment,173914488,Shaun,,Ward 115,-33.91919,18.42574,Entire home/apt,800,3,64,2022-12-11,1.12,1,179,9,
24626247,54 Victoria,25122328,Esta-Marita,,Ward 54,-33.96202,18.37406,Entire home/apt,33925,3,0,,,20,0,0,
23950269,Green Point luxury - 5min walk to V&A Waterfront,106584308,Ciska,,Ward 115,-33.90874,18.41084,Entire home/apt,1564,3,89,2022-12-23,1.71,7,212,10,
23958621,Gardens Retreat,161242545,Marike,,Ward 77,-33.93635,18.40759,Entire home/apt,2500,4,0,,,1,24,0,
24627678,Helm's Nest,48738908,Sue,,Ward 71,-34.06746,18.43223,Entire home/apt,1350,2,2,2018-12-31,0.04,1,180,0,
24641643,Fulham Garden Cottage,29078248,Jean-Paul,,Ward 54,-33.95361,18.38564,Entire home/apt,3500,2,28,2020-03-09,0.52,3,273,0,
24283758,"Peaceful room in Milnerton with Queen size, XL bed",50192112,Ellouise,,Ward 55,-33.88962,18.49526,Private room,503,2,159,2022-12-07,2.80,1,40,14,
23961598,Classic Beach House with Breathtaking Views,165126328,Kim,,Ward 61,-34.2074,18.45434,Entire home/apt,2388,5,20,2022-10-18,0.40,1,253,5,
24298815,Quiet Cul de Sac Family Home,171134180,Richard,,Ward 59,-33.99866,18.47035,Entire home/apt,3750,7,5,2022-01-07,0.10,1,318,1,
24651745,Victorian Villa overlooking City,654987,Alice,,Ward 77,-33.93591,18.40503,Entire home/apt,1210,28,0,,,3,137,0,
24654625,Sea View Zeezicht 3,65714,John,,Ward 23,-33.818389892578125,18.475309371948242,Entire home/apt,1587,2,2,2021-09-12,0.06,2,74,0,
23967084,Spacious One-Bedroom Suite in Five-Star Hotel,5249039,Kate,,Ward 77,-33.92103,18.41579,Entire home/apt,3357,1,9,2022-10-07,0.18,2,272,6,
24662926,"Beachfront, near V&A Waterfront, LOADSHED-PROOF",23599148,Michael & Kirstin,,Ward 54,-33.91207,18.3887,Entire home/apt,3109,2,53,2022-08-18,0.95,9,102,8,
24666951,Cape Town Central Oscar and Phoepe,112191297,Itchospitality,,Ward 115,-33.92316,18.42032,Entire home/apt,1954,2,1,2020-01-03,0.03,32,320,0,
24299050,Constantia Terrace Suite,183307068,Michelle,,Ward 62,-34.00547,18.44011,Entire home/apt,2800,2,11,2022-11-18,0.31,2,299,5,
23967261,Kommetjie Sunny Family Beach Home,10499613,Nicholas,,Ward 61,-34.13753,18.33909,Entire home/apt,3500,10,0,,,3,37,0,
24300470,Constantia Terrace Lodge,183307068,Michelle,,Ward 62,-34.00619,18.43948,Entire home/apt,4200,1,1,2019-06-14,0.02,2,184,0,
24681759,Afbit Self-catering unit 1,186553662,Erica,,Ward 3,-33.88915,18.6401,Private room,420,3,4,2019-03-08,0.07,3,365,0,
23970909,"Rosmead Apartment, sea view",6871685,Madelein In Good Company,,Ward 64,-34.12426,18.45125,Entire home/apt,1936,2,86,2022-12-09,1.51,4,180,26,
24683588,Just the Place,95082732,Claudio,,Ward 77,-33.93522,18.41716,Entire home/apt,1550,2,1,2018-11-18,0.02,1,304,0,
24301751,Amazing View!! Breë St. Studio with Pool & Parking,12050437,Bela,,Ward 115,-33.92355,18.41561,Entire home/apt,1775,2,103,2022-12-10,1.83,3,85,31,
24304321,Skydance - Cape Town’s hottest Villa,71607000,Deborah,,Ward 62,-33.9936,18.43383,Entire home/apt,48608,3,2,2019-03-29,0.04,3,334,0,
23971479,Stunning modern retreat with fabulous views,180144991,Thomas,,Ward 54,-33.9524,18.38465,Entire home/apt,25000,6,1,2022-01-04,0.08,1,248,1,
24315994,"Spa bath - Santorini-style, luxury self catering",27998076,Jennifer,,Ward 69,-34.137,18.38624,Entire home/apt,2600,1,13,2022-12-21,0.38,5,327,12,
24317319,"Whale watch  ++sea views, large monthly Discounts",35641063,Rose,,Ward 54,-33.92611,18.38184,Entire home/apt,4591,21,6,2022-11-03,0.12,1,60,1,
24318268,Aquatic House 2 - Walk to Beach & Restaurants,50508628,Achim & Shubha,,Ward 54,-33.95419,18.38273,Entire home/apt,28725,3,4,2022-09-02,0.08,13,230,1,
24722302,Green Point Furnished Studio,186875994,Darryn,,Ward 115,-33.9122842,18.4160963,Entire home/apt,879,90,0,,,1,362,0,
23985571,34 ON WARREN,31397645,Claire,,Ward 77,-33.93115,18.40498,Entire home/apt,1436,3,48,2022-12-02,0.84,5,296,13,
24739526,Beach House - Melkbosstrand,92759077,Werner,,Ward 23,-33.70986,18.44404,Entire home/apt,3500,8,3,2022-02-19,0.06,1,346,1,
24319784,Special surroundings in a safe and comfy home,10913063,Lee,,Ward 69,-34.12033,18.37455,Entire home/apt,3950,5,0,,,17,358,0,
23987807,Far Horizons: Ocean View Room,22391943,Tracey,,Ward 54,-33.95868,18.38077,Private room,3600,2,6,2022-03-02,0.16,8,354,1,
24320680,"Private Newlands cottages near UCT, shops, stadia",108536923,Martin & Jane,,Ward 59,-33.9683,18.46453,Entire home/apt,1988,5,3,2019-12-16,0.05,3,0,0,
23988221,Countryshadows,180467622,Irene,,Ward 64,-34.08931,18.47379,Entire home/apt,571,2,11,2022-03-29,0.24,1,47,3,
24321188,Penguin and Beach Paradise,179545166,Carmelita,,Ward 61,-34.19507,18.44806,Entire home/apt,1200,2,71,2022-12-24,1.26,1,129,29,
24741680,"1 bed garden flat ,comfortable and stylish.",146796246,Elmarie,,Ward 15,-34.05727,18.84008,Entire home/apt,514,2,3,2022-12-13,0.93,1,324,3,
24751718,Take it Easy Poolside at a Timeless Suburban Sanctuary,47438570,Sasha,,Ward 62,-33.98528,18.44998,Entire home/apt,5124,14,2,2022-01-22,0.04,3,135,1,
24000770,Apartment  in the heart of the Cape Winelands,15069893,Cecilia,,Ward 15,-34.04908,18.83183,Entire home/apt,548,3,5,2021-07-11,0.14,1,151,0,
